participant_id,device,segment,SCR_Peaks_per_minute,SCR_Peaks_Amplitude_Mean,EDA_Sympathetic,EDA_SympatheticN,Phasic_Mean,Tonic_Mean
OITC39,Infiniti,Baseline,3.8,0.3018493341922837,0.21936961674255576,0.06908866742740305,0.17805946920303703,6.25908945947942
OITC39,Infiniti,All_Trials,4.2,0.23970833746277803,1.2397535124123575,0.06496079860104619,0.12897869800994213,7.9333520836286135
OITC39,Infiniti,Trial_1,4.6,0.21494201816756422,1.8416459608051288,0.0741160642003973,0.10037367242547196,7.726993630886927
OITC39,Infiniti,Trial_2,4.0,0.26827343466244596,1.3546445105000602,0.054567548658885794,0.1125367797190699,7.868682717171908
OITC39,Infiniti,Trial_3,4.4,0.25269290965583346,0.5230054152414576,0.06619666154529508,0.16930676912962014,8.209105895485981
OITC40,Infiniti,Baseline,1.2,0.1051056599520721,0.22862507637372192,0.02853459787303278,0.025565899135948148,4.585853075699951
OITC40,Infiniti,All_Trials,2.466666666666667,0.19002490606972222,0.7619391848681767,0.0379910365664109,0.08325677166062721,6.182162186415516
OITC40,Infiniti,Trial_1,3.6,0.16130285582095896,0.28105274667556346,0.049089541394199056,0.06635267486355018,6.023473016811675
OITC40,Infiniti,Trial_2,2.2,0.15659011494276706,1.3015503131847976,0.04035684328993769,0.046895487134888135,6.2450717991691
OITC40,Infiniti,Trial_3,2.2,0.2297860064569143,0.6994921055257893,0.02432992679522338,0.11496439747495409,6.299045938354618
OITC44,Infiniti,Baseline,2.4,0.16875856431658748,0.22881795063307825,0.036488736186647726,0.06563205230665783,3.9117812895290642
OITC44,Infiniti,All_Trials,4.533333333333333,0.1586502856359708,1.1216186905075183,0.03559691806300386,0.11047080857321577,7.253125903940686
OITC44,Infiniti,Trial_1,7.0,0.187176897776058,2.349121989194144,0.06017355005344992,0.16616318779400263,6.989390134110498
OITC44,Infiniti,Trial_2,3.8,0.12712501470458934,0.686724520797997,0.029091557080994188,0.06741202503806691,7.122861142061535
